0.00 -0.054 287 287.00
0.02 -0.069 287 287.02
0.04 -0.076 287 287.04
0.06 -0.084 287 287.06
0.08 -0.094 287 287.08
0.10 -0.104 287 287.10
0.13 -0.117 287 287.13
0.15 -0.127 287 287.15
0.17 -0.134 287 287.17
0.19 -0.141 287 287.19
0.21 -0.148 287 287.21
0.23 -0.147 287 287.23
0.25 -0.151 287 287.25
0.27 -0.155 287 287.27
0.29 -0.151 287 287.29
0.31 -0.155 287 287.31
0.33 -0.154 287 287.33
0.35 -0.15 287 287.35
0.38 -0.145 287 287.38
0.40 0.113 287 287.40
0.42 0.254 287 287.42
0.44 0.407 287 287.44
0.46 0.547 287 287.46
0.48 0.58 287 287.48
0.50 0.499 287 287.50
0.52 0.371 287 287.52
0.54 0.246 287 287.54
0.56 0.127 287 287.56
0.58 -0.021 287 287.58
0.60 -0.041 287 287.60
0.63 -0.055 287 287.63
0.65 -0.067 287 287.65
0.67 -0.076 287 287.67
0.69 -0.083 287 287.69
0.71 -0.089 287 287.71
0.73 -0.094 287 287.73
0.75 -0.1 287 287.75
0.77 -0.105 287 287.77
0.79 -0.109 287 287.79
0.81 -0.111 287 287.81
0.83 -0.118 287 287.83
0.85 -0.124 287 287.85
0.88 -0.128 287 287.88
0.90 -0.129 287 287.90
0.92 0.006 287 287.92
0.94 0.129 287 287.94
0.96 0.246 287 287.96
0.98 0.326 287 287.98
0.00 0.3 288 288.00
0.02 0.209 288 288.02
0.04 0.117 288 288.04
0.06 -0.017 288 288.06
0.08 -0.048 288 288.08
0.10 -0.065 288 288.10
0.13 -0.074 288 288.13
0.15 -0.084 288 288.15
0.17 -0.091 288 288.17
0.19 -0.098 288 288.19
0.21 -0.104 288 288.21
0.23 -0.105 288 288.23
0.25 -0.11 288 288.25
0.27 -0.114 288 288.27
0.29 -0.117 288 288.29
0.31 -0.12 288 288.31
0.33 -0.124 288 288.33
0.35 -0.126 288 288.35
0.38 -0.133 288 288.38
0.40 -0.133 288 288.40
0.42 0.089 288 288.42
0.44 0.261 288 288.44
0.46 0.466 288 288.46
0.48 0.639 288 288.48
0.50 0.697 288 288.50
0.52 0.617 288 288.52
0.54 0.479 288 288.54
0.56 0.337 288 288.56
0.58 0.198 288 288.58
0.60 0.067 288 288.60
0.63 -0.041 288 288.63
0.65 -0.059 288 288.65
